epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5853.09,0.80987,0.5937,1.1192,0.94626,0.93223,0.96646,0.76396,0.74899,0.44806,1.0202,0.004456,0.004456,0.004456
44,5989.93,0.80522,0.58989,1.11563,0.94559,0.93303,0.96654,0.76496,0.74786,0.44737,1.01903,0.004324,0.004324,0.004324
45,6125.48,0.79621,0.5836,1.11143,0.94473,0.93575,0.96683,0.76621,0.74733,0.44558,1.01943,0.004192,0.004192,0.004192
46,6262.09,0.79404,0.58532,1.11115,0.94469,0.93519,0.96769,0.76654,0.74712,0.44339,1.01979,0.00406,0.00406,0.00406
47,6397.48,0.78685,0.57368,1.10695,0.94377,0.93407,0.96773,0.7672,0.74566,0.4434,1.01848,0.003928,0.003928,0.003928
48,6534.31,0.7843,0.56786,1.10522,0.94513,0.93439,0.96787,0.76733,0.74469,0.44159,1.01775,0.003796,0.003796,0.003796
49,6670.85,0.77764,0.5577,1.10235,0.94687,0.93484,0.96815,0.76817,0.74392,0.44003,1.01687,0.003664,0.003664,0.003664
50,6808.15,0.77738,0.56041,1.10211,0.94658,0.93801,0.96767,0.76807,0.74363,0.43853,1.01714,0.003532,0.003532,0.003532
51,6945.88,0.7699,0.55841,1.09827,0.94597,0.93801,0.96847,0.76948,0.74406,0.43822,1.01822,0.0034,0.0034,0.0034
52,7082.57,0.76463,0.54789,1.09548,0.94608,0.93679,0.96848,0.76945,0.74356,0.43786,1.01791,0.003268,0.003268,0.003268
53,7219.56,0.76127,0.54416,1.09085,0.94662,0.93891,0.96836,0.76918,0.74389,0.43628,1.0184,0.003136,0.003136,0.003136
54,7357.28,0.75552,0.53677,1.09115,0.9461,0.9371,0.9684,0.76982,0.74387,0.43517,1.0186,0.003004,0.003004,0.003004
55,7494.58,0.74908,0.53516,1.08574,0.94614,0.93801,0.96828,0.7704,0.74385,0.43558,1.01853,0.002872,0.002872,0.002872
56,7632.73,0.74511,0.52621,1.08286,0.94538,0.93846,0.96801,0.77029,0.74363,0.43549,1.01871,0.00274,0.00274,0.00274
57,7769.76,0.73804,0.52545,1.08216,0.94533,0.9389,0.96797,0.77044,0.74218,0.43542,1.01716,0.002608,0.002608,0.002608
58,7907.21,0.73536,0.52406,1.08157,0.94414,0.94069,0.96808,0.77099,0.74124,0.43582,1.01627,0.002476,0.002476,0.002476
59,8043.82,0.73553,0.51864,1.07739,0.94375,0.94134,0.96807,0.77128,0.74091,0.4358,1.01607,0.002344,0.002344,0.002344
60,8181.44,0.72551,0.51031,1.07471,0.94492,0.93932,0.96809,0.77141,0.74089,0.43569,1.01645,0.002212,0.002212,0.002212
61,8318.75,0.71707,0.50517,1.06975,0.94701,0.93806,0.96826,0.77164,0.74023,0.43516,1.01593,0.00208,0.00208,0.00208
62,8456.54,0.71165,0.49922,1.06621,0.9461,0.93729,0.9687,0.77208,0.73991,0.43478,1.01557,0.001948,0.001948,0.001948
63,8593.43,0.70364,0.49817,1.06275,0.94623,0.93756,0.9687,0.77237,0.73995,0.43418,1.01567,0.001816,0.001816,0.001816
64,8730.51,0.70528,0.49676,1.06496,0.94645,0.9371,0.96872,0.77229,0.73926,0.43405,1.01454,0.001684,0.001684,0.001684
65,8867.57,0.69864,0.48512,1.05944,0.94491,0.9371,0.96863,0.77231,0.73901,0.43397,1.01451,0.001552,0.001552,0.001552
66,9007.31,0.64315,0.35349,1.01771,0.9444,0.93763,0.9688,0.77225,0.73877,0.43312,1.01456,0.00142,0.00142,0.00142
67,9146.17,0.62581,0.3457,1.00961,0.94463,0.93891,0.96878,0.77231,0.73907,0.43275,1.01484,0.001288,0.001288,0.001288
68,9284.78,0.6175,0.33708,1.00739,0.94494,0.9396,0.96873,0.77223,0.7386,0.43285,1.01453,0.001156,0.001156,0.001156
69,9422.46,0.60205,0.3289,0.99719,0.94702,0.9382,0.96859,0.77296,0.7388,0.43286,1.01486,0.001024,0.001024,0.001024
70,9560.57,0.59864,0.32376,0.99704,0.94771,0.93801,0.96914,0.77336,0.73854,0.43243,1.01485,0.000892,0.000892,0.000892
71,9699.13,0.58785,0.31795,0.99293,0.94551,0.94118,0.96924,0.7732,0.73862,0.43224,1.01515,0.00076,0.00076,0.00076
72,9838.31,0.57701,0.31242,0.98173,0.94963,0.93891,0.96917,0.77341,0.73902,0.4315,1.01563,0.000628,0.000628,0.000628
73,9977.48,0.57394,0.30779,0.98153,0.95012,0.9394,0.96908,0.77387,0.73882,0.43135,1.01535,0.000496,0.000496,0.000496
74,10116.4,0.56898,0.30345,0.97953,0.94966,0.93906,0.96901,0.77442,0.73873,0.43095,1.01554,0.000364,0.000364,0.000364
75,10254.5,0.55974,0.2985,0.97508,0.95008,0.93937,0.96893,0.77444,0.73858,0.43079,1.01562,0.000232,0.000232,0.000232
